Montepaschi Siena;Montepaschi Siena
Bennet Cantu';Bennet Cantu'
EA7-Emporio Armani Milano;Ea7-Emporio Armani Milano
Benetton Treviso;Benetton Treviso
Sidigas Avellino;Sidigas Avellino
Banco di Sardegna Sassari;Banco Di Sardegna Sassari
Cimberio Varese;Cimberio Varese
Canadian Solar Bologna;Canadian Solar Bologna
Virtus Roma;Virtus Roma
Scavolini Siviglia Pesaro;Scavolini Siviglia Pesaro
Pepsi Caserta;Pepsi Caserta
Vanoli-Braga Cremona;Vanoli-Braga Cremona
Fabi Shoes Montegranaro;Fabi Shoes Montegranaro
Angelico Biella;Angelico Biella
Banca Tercas Teramo;Banca Tercas Teramo
Novipiu' Casale Monferrato;Novipiu' Casale Monferrato
Enel Brindisi ;Enel Brindisi 
Umana Venezia ;Umana Venezia 
Sigma Barcellona ;Sigma Barcellona 
Prima Veroli ;Prima Veroli 
Scafati Basket ;Scafati Basket 
Giorgio Tesi Group PT ;Giorgio Tesi Group Pt 
Fileni BPA Jesi ;Fileni Bpa Jesi 
Aget Service Imola ;Aget Service Imola 
Marcopoloshop.it Forli ;Marcopoloshop.It Forli 
Trenkwalder RE ;Trenkwalder Re 
Biancoblu Basket BO ;Biancoblu Basket Bo 
Centrale del Latte BS ;Centrale Del Latte Bs 
Tezenis Verona ;Tezenis Verona 
Assi Basket Ostuni ;Assi Basket Ostuni 
Morpho Basket Piacenza ;Morpho Basket Piacenza 
ASS. Pall. S.Antimo ;Ass. Pall. S.Antimo 
BENACQUISTA LATINA;Benacquista Latina
UCC CASALPUSTERLENGO;Ucc Casalpusterlengo
ANAGNI BASKET;Anagni Basket
CO.MARK TREVIGLIO;Co.Mark Treviglio
NAPOLI BASKETBALL;Napoli Basketball
PALLACANESTRO PAVIA;Pallacanestro Pavia
ORLANDINA BK CAPO D'OR.;Orlandina Bk Capo D'Or.
PALL. TRENTO 2009;Pall. Trento 2009
RUVO DI PUGLIA BASKET;Ruvo Di Puglia Basket
FULGOR OMEGNA;Fulgor Omegna
NUOVA CEST. SAN SEVERO;Nuova Cest. San Severo
PALL. LAGO MAGGIORE;Pall. Lago Maggiore
U.S. BASKET RECANATI;U.S. Basket Recanati
PMS TORINO;Pms Torino
SPIDER FABRIANO;Spider Fabriano
CONSUM.IT SIENA;Consum.It Siena
OLIMPIA MATERA;Olimpia Matera
PERUGIA BASKET;Perugia Basket
CUS BARI;Cus Bari
PALL.TRIESTE 2004;Pall.Trieste 2004
BASKET FERENTINO;Basket Ferentino
NUOVA PALL. FIRENZE;Nuova Pall. Firenze
PALL. TEATE CHIETI;Pall. Teate Chieti
ANGELS SANTARCANGELO;Angels Santarcangelo
BASKET FOSSOMBRONE;Basket Fossombrone
AMICI PALL.UDINESE;Amici Pall.Udinese
GRAPHISTUDIOSPILIMBERGO;Graphistudiospilimbergo
FALCONSTAR MONFALCONE;Falconstar Monfalcone
PALL. MAROSTICA;Pall. Marostica
SUPERNOVA MONTEGRANARO;Supernova Montegranaro
PALL. SENIGALLIA;Pall. Senigallia
G.S. RIVA DEL GARDA;G.S. Riva Del Garda
VIRTUS BASKET C. MARCHE;Virtus Basket C. Marche
CALLIGARIS CORNO DI R.;Calligaris Corno Di R.
ACMAR RAVENNA;Acmar Ravenna
ROBUR BASKET OSIMO;Robur Basket Osimo
CRABS RIMINI;Crabs Rimini
RONCADE BASKET;Roncade Basket
PALLACANESTRO ROVERETO;Pallacanestro Rovereto
FIORESE BASSANO;Fiorese Bassano
PALL. FERRARA 2011;Pall. Ferrara 2011
BASKET VILLAFRANCA;Basket Villafranca
GIANTS BASKET MARGHERA;Giants Basket Marghera
PALL. POOL VENEZIA;Pall. Pool Venezia
BASKET ODERZO;Basket Oderzo
VIG.HESPERIA CONEGLIANO;Vig.Hesperia Conegliano
JADRAN TRIESTE;Jadran Trieste
SERVOLANA TRIESTE;Servolana Trieste
RUCKER SAN VENDEMIANO;Rucker San Vendemiano
S.MARGHERITA CAORLE;S.Margherita Caorle
I.T.EL LIMENA;I.T.El Limena
PALL. CODROIPESE;Pall. Codroipese
NUOVA PALL.MONTEBELLUNA;Nuova Pall.Montebelluna
ALBA CORMONS;Alba Cormons
PIENNE BK PORDENONE;Pienne Bk Pordenone
BASKET CITTADELLA;Basket Cittadella
PALL. TAGLIAM. LATISANA;Pall. Tagliam. Latisana
S.S.D. BREG;S.S.D. Breg
TARCENTO BASKET;Tarcento Basket
POL. RORAIGRANDE;Pol. Roraigrande
SANTOS BASKET TRIESTE;Santos Basket Trieste
VENEZIA GIULIA BASKET;Venezia Giulia Basket
AKK BOR TRIESTE;Akk Bor Trieste
PALL. TOLMEZZO;Pall. Tolmezzo
UDINE BASKET CLUB;Udine Basket Club
DON BOSCO TRIESTE;Don Bosco Trieste
CREDIFRIULI CERVIGNANO;Credifriuli Cervignano
ARDITA GORIZIA;Ardita Gorizia
POL. LIBERTAS ACLI;Pol. Libertas Acli
BASKET TIME UDINE;Basket Time Udine
A.S.A.R. ROMANS;A.S.A.R. Romans
BASKET CLUB SAN VITO;Basket Club San Vito
PALL. RONCHI;Pall. Ronchi